type,text,defn
root,"isl | islet",island
root,"iso | isobar | isometric | isosceles | isotope",equal
root,"iss | issue | reissue","depart | go forth | go out"
root,"it | ambition | circuit | exit | sedition | transit",go
root,"iter | iterate | iteration | reiterate","again | repeat"
root,"itiner | itinerant | itinerary",journey
root,"jac | adjacent","lie | throw"
root,"ject | adjective | dejected | interject | projection","cast | throw"
root,"joc | jocose | jocosity | jocular | jocund","a jest | joke"
root,"join | adjoining | disjointed",join
root,"journ | adjourn | bonjour | journal | journey | sojourn","daily | day"
root,"jud | judgment",judge
root,"judic | adjudicate | judicial | judiciary | judicious | prejudice","judge | judgment"
root,"jug | conjugal | conjugate | subjugate","join | yoke"
root,"jun | junior | juniper",young
root,"junct | adjunct | conjunction | injunction | junction | juncture | subjunctive",join
root,"jur | injurious | jurisdiction | jurist | perjury","law | right"
root,"jure | abjure | conjure | perjure",swear
root,"jus | adjust | injustice | justification | readjustment | unjustly","law | right"
root,"juven | juvenescent | juvenile | juvie | rejuvenate",young
root,"kilo | kilometer","one thousand (prefix)"
root,"kine | kinetics",move
root,"labor | belabor | collaborate. elaborate | collaboration | laboratory | laborious",work
root,"lacer | lacerate | laceration","mangled | torn"
root,"lact | lactation | lacteal | lactescent | lactose | lettuce",milk
root,"lang | language",tongue
root,"langu | languid | languish | languor","be weary"
root,"laps | collapse | collapsible | elapse | lapse",slip
root,"lass | alas | lass | lassitude | late","faint | weary"
root,"lat | elated | legislative | relate | translation","bring | carry | lift"
root,"later | collateral | equilateral | lateral | quadrilateral | unilateral",side
root,"laud | applaud | cum laude | laudable | plaudits",praise
root,"lav | lavatory | lave | lavender | lavish",wash
root,"lax | laxative | laxity | relax",loose
root,"leas | release",loose
root,"lect | intellect | predilection | recollection | select","choose | gather"
root,"leg | lecture | legend | legible | lesson","gather the ""sense"" | read"
root,"lega | allege | colleague | delegate | delegation | legacy | legate | relegate","appoint | bring | send"
root,"lege | elect | electoral | elegance | elegant | legion | legume","choose | gather | pick"
root,"lei | leisure","be permitted"
root,"lemm | dilemma | lemma","received or taken for granted | something taken"
root,"lent | relent","loose | slack"
root,"leo | chameleon | dandelion | leonard | leopard",lion
root,"lev | alleviate | irrelevant | leverage | levitate | levity",light
root,"lev/liev | elevate | irrelevant | leaven | lever | levy | relevant | relieve","lift up | raise | rise"
root,"lexi | lexicographer | lexicology | lexicon","a word | phrase | saying"
root,"li | liable | liaison | lien","bind | hold | tie"
root,"liber | deliver | liberal | liberate | libertine | liberty | livery",free
root,"liber, libr | deliberate | deliberation | liberate","balance | weigh"
root,"libr | libel | library",book
root,"lic | illicit | leisure | license | licentious","be permitted"
root,"lict | dereliction | relic | relict",leave
root,"lig | diligence | diligent | eligible | intelligent | negligible","choose | collect | gather"
root,"lin | crinoline | linen | lining | linseed",flax
root,"line | delineate | lineal | linear",line
root,"lingu | bilingual | language | lingo | linguist | linguistics",tongue
root,"linqu | delinquency | delinquent | relinquish","abandon | leave"
root,"lip | eclipse | ellipse | elliptical",leave
root,"liter | alliteration | literacy | literary | literature | obliterate",letter
root,"lith | lithography | megalith | monolith",stone
root,"liver | delivery",free
root,"loc | allocate | dislocate | locality | locate | locomotion | relocation",place
root,"locut | circumlocution | elocution | interlocutor","speak | talk"
root,"log | analogy | apology | catalog | dialogue | epilogue | eulogy | illogical | logic | logistics | monologue | neologism | prologue | syllogism","reason | speech | word"
root,"logy | criminology | etymology | genealogy | geology | theology","study of (suffix)"
root,"long | elongate | longevity | longitude | oblong | prolong | purloin",long
root,"loqu | eloquent | loquacious | obloquy | soliloquy | ventriloquist","speak | talk"
root,"lot | lotion",wash
root,"loy | alloy",bind
root,"luc | elucidate | lucid | lucifer | pellucid | translucent","light | shine"
root,"luct | reluctant","struggle | wrestle"
root,"lud | allude | collude | delude | interlude | ludicrous | prelude","laugh | mock | play | sport"
root,"lug | deluge",wash
root,"lum | illuminate | luminary",light
root,"lum/lus | illuminate. illustrate | lackluster | luminary",light
root,"lun | lunacy | lunar | lunate | lunatic | lunation",moon
root,"lus | allusion | collusion | delusion | elusive | illusion","laugh | mock | play | sport"
root,"lustr | illustrate | lackluster | luster | lustrous","enlighten | light"
root,"lut | ablution | dilute | dilution | pollute",wash
root,"macro | macrocosm | macrophage | macroscopic","large (prefix)"
root,"magn | magnanimous | magnate | magnificent | magnify | magnitude | magnum",great
root,"mal | maladroit | malcontent | malediction | malfeasance | malfunction","bad | evil (prefix) | ill | wrong"
root,"man | emancipate | manacles | manifest | manipulate",hand
root,"mand | command | countermand | demand | mandamus | mandate | remand","command | order"
root,"mania | kleptomania | maniac | maniacal | megalomania | pyromania",madness
root,"mans | manor | manse | mansion | permanent | remain","dwell | stay"
root,"mar | aquamarine | marina | marinate | marine | mariner | maritime | marsh | rosemary","pool | the sea"
root,"mater | maternal",mother
root,"matr | maternal | matriarch | matriculate | matrimony | matron | metropolis",mother
root,"mb | somber",shadow
root,"mean | demeanor | misdemeanor","drive | threaten"
root,"medi | immediately | median | mediate | mediator | medieval | mediocre | mediterranean | medium","between | middle"
root,"medit | mediator | meditate | meditation","contemplate | ponder"
root,"mega | megalith","great (prefix) | large"
root,"megalo | megalomania | megalomyx","great | large (prefix)"
root,"melo | melodious | melodrama | melody",song
root,"memor | commemorate | memento | memoir | memorable | memorize | memory","mindful | remembering"
root,"mena | amenable | demeanor | menace | promenade","drive | threaten"
root,"mend | amend | amendment | emendation | mendacious | mendacity","defect | fault"
root,"mens | commensurate | dimension | immense | measure | mensuration",measure
root,"mer | marsh | mere | mermaid",lake
root,"merg | emerge | emergence | merge | submerge","dip | sink | to plunge"
root,"meri | merit | meritocracy | meritorious","deserve | earn"
root,"meta | metaphor | metaphysical | metastasis","after | along with | among | change (prefix)"
root,"meter | barometer | diameter | geometry | perimeter | thermometer",measure
root,"metr | geometry | metric | symmetry | trigonometry",measure
root,"metro | metropolis",mother
root,"micro | microbe | microcosm | microscopic",small
root,"migr | emigrate | immigrate | migrant | migratory",wander
root,"milit | miles | militant | military | militia",soldier
root,"min | eminence | eminent | imminent | preeminent | prominent",project
root,"minn | diminish | diminution | diminutive | miniature | minuet | minute","diminish | lessen | make small"
root,"minor | minority",less
root,"minut | diminution | minuet | minuscule | minute","diminish | lessen | make small"
root,"mir | admire | marvel | miracle | mirage | mirror","behold | look | wonder at"
root,"mis | misanthrope | misogamy | misogyny | misoneism",hate
root,"miss | admit | admittedly | commissar | commission | commitment | committee | compromise | demise | dismissal | emissary | emission | emit | inadmissible | intermission | intermittent | messenger | missile | missionary | missive | noncommittal | omission | permissible | permitted | premise | promise | remiss | remittance | submission | surmise. | transmit","send (wcity)"
root,"mistl | mistletoe",twig
root,"mit | admit | commit | emit | intermittent | omit | permit | remit | submit | transmit","send | throw"
root,"mod | bimodal | commode | commodity | modality | mode | model | modest | modify | modulate","manner | measure | way"
root,"moder | immoderate | moderate | modern","manner | measure | mode"
root,"mol | demolish | mole | molecule","heap | mass"
root,"moll | emollient | mollify | mollusk",soft
root,"mon | admonish | admonition | monitor | monster | monument | premonition | summon","advise | remind | warn"
root,"monit | admonition | monition | monitor | premonition","advise | remind | warn"
root,"mono | monarch | monocle | monogram | monologue","one | single"
root,"monstr | demonstrate | demonstrative | muster | remonstrate","point out | show"
root,"mor | sophomore | sophomoric",foolish
root,"mori | moribund",die
root,"moron | moronic",stupid
root,"morph | amorphous | anthropomorphic | metamorphosis | morphine | morphology","form | shape"
root,"mors | mordacity | morsel | remorse",bite
root,"mort | immortality | mortal | mortify | rigor mortis",death
root,"mot | commotion | emotional | momentarily | motivate | motive | motor | promoter | remote",move
root,"mount | amount | insurmountable | mountaineer | paramount | tantamount","hill | mountain"
root,"mov | momentum | move | movement",move
root,"mult | multifarious | multilingual | multiply | multitude","many | much"
root,"mun | commune | excommunicate | munificent | remunerate","a gift | achievement"
root,"muni | communicate | communism | immunity","functions | official duties"
root,"mut | commute | mutable | mutation | mutual | permutation",change
root,"narr | narrate | narrative | narrator | unnarratable","relate | tell"
root,"nasc | nascent","be born"
root,"nat | cognate | good-natured | innate | international | naive | nascent | natal | nationality | nativity | renaissance | supernatural | unnatural",born
root,"nau | astronaut | nausea | nauseate | nautical","sailor | ship"
root,"nav | circumnavigate | naval | nave | navigable | navigate | navy",ship
root,"nec | necrology | necrophobia | pernicious",kill
root,"necro | necrology | necrophagia | necropsy","dead body | death | kill"
root,"nect | connection | connectivity | disconnect | interconnect",bind
root,"neg | abnegation | negative | renegade | renege",deny
root,"negat | abnegation | negate | negation | negative",deny
root,"neo | neophyte",new
root,"neur | neural | neuralgia | neuritis | neurotic",nerve
root,"nic | pernicious","death | harm"
root,"nihil | annihilate | nihilism",nothing
root,"noc | innocent | innocuous | obnoxious","harm | hurt"
root,"noct | noctambulist | nocturn | nocturnal",night
root,"nom | binomial | misnomer | polynomial","name | term"
root,"nom(y) | agronomy | astronomy | autonomy | economy","law | system of laws"
root,"nomen | nomenclature",name
root,"nomin | denominate | ignominy | nominate","name | nominal"
root,"non | nonchalant | nonexistent | nonfiction | nonpartisan | nonsense","not (prefix)"
root,"nost | nostalgia","a return home"
root,"not | annotate | connote | denote | notary | notice | notify | notion | notorious",know
root,"not(a) | annotate | denotation | denote | notable | note",mark
root,"nounc | announce | denounce | pronounce | renounce","declare | tell"
root,"nov | innovate | nova | novel | novelty | novice | renovation",new
root,"nox | noxious | obnoxious",hurt
root,"null | annul | nullification | nullify","none | nothing"
root,"numer | enumerate | innumerable | numeral | numerous | supernumerary",number
root,"nunci | enunciate | nuncio","bring tidings | declare | tell"
root,"nur | nursary | nurse | nurture","feed | nourish"
root,"nutr | nurse | nurture | nutriment | nutritious | nutritive","feed | nourish"
root,"nym | acronym | antonym | eponym | pseudonym | synonym",name
root,"ob | oblique | obtuse","against | on | over | to | toward"
root,"oc | occurrence","against | on | over | to | toward"
root,"oct | octagon | octopus",eight
root,"octav | octave",eight
root,"ocul | binoculars | inoculate | monocle | ocular | oculist",eye
root,"odi | annoy | odious | odium","hate | ill-will"
root,"ombr | somber | sombrero",shade
root,"omni | omnibus | omnificent | omnipotent | omnipresent | omniscient | omnivore",all
root,"ompt | prompt","buy | take"
root,"oner | exonerate | onerous",burden
root,"onym | anonymous | homonym | synonym",name
root,"op | opposite | opposition","against | on | over | to | toward"
root,"oper | cooperation | opera | operate",work
root,"operi | cover | covert","cover | hide"
root,"opt | optical | optician","see | sight"
root,"opul | opulence | opulent",wealth
root,"or | adore | inexorable | oracle | oratory | orison | peroration","address | pray"
root,"orat | adoration | oration | orator | oratory","address | pray | speak"
root,"ord | primordial","begin | weave"
root,"ordin | co-ordinate | disorder | inordinate | order | orderly | ordinance | ordinary | ordination | subordinate","arrange | order | rank | regulate"
root,"orium | auditorium","a place for (suffix)"
root,"orn | adorn | ornament | ornate | suborn","adorn | furnish"
root,"ortho | orthodontist | orthodox | orthoepy | orthography","correct | straight"
root,"oss | osseous | ossification | ossify",bone
root,"oste | osteopathy | osteoporosis",bone
root,"pac | compact | pacifist | pacify",peace
root,"paen | peninsula","almost (prefix)"
root,"pair | repair","get ready | set"
root,"paleo | paleontology","ancient (prefix)"
root,"palp | palpable | palpitate | palpitation",feel
root,"pan | company | panatella | pancake | pannier | panniers | pantry",bread
root,"pand | expand","spread out"
root,"pans | expanse | expansive","spread out"
root,"par | disparage | disparate | disparity | parimutuel | parity | peer | peerage",equal
root,"para | parabola | parachute | paradox | paragraph | paraphrase | parasite","at or to one side of | beside | beyond | past by (prefix)"
root,"pari | apparition","come in sight"
root,"pars | parcel | parse",part
root,"part | apartheid | apartment | compartment | depart | impartial | parcel | partial | particle | partisan | partition | portion | repartee | tripartite","divide | part | separate | share"
root,"pass | compass | encompass | impassable | pace | passage | passenger | passport | password | surpass | trespass",step
root,"pat | compassion | compatible | impatience | passive | patient","endure | feel | suffer"
root,"pater | paternity",father
root,"path | antipathy | apathy | pathetic | pathos | sympathizer | sympathy","feel | suffer"
root,"patr | expatriate | patriarch | patrician | patriotism | patron | patronize",father
root,"pau | paucity",few
root,"peac | peaceful",peace
root,"peas | appease",peace
root,"pecc | impeccable | peccable | peccadillo | peccant",sin
root,"pect | expectorate | pectoral","breast | chest"
root,"pecu | impecunious | peculate | pecuniary",money
root,"ped | pedagogue | pedagogy | pedantic | pediatrician",child
root,"peer | peerage",equal
root,"pel-pell | compel | dispel | expel | repel | repellent","drive | urge"
root,"pel/pul | expulsion | propel | pulsate | repulsive","drive | urge"
root,"pell | pelisse | pell | pellicle | pelt | surplice","fur | skin"
root,"pen | impune | impunity | penal | penalty | penitent | punish | repent | subpoena","pain | punishment"
root,"pend | append | expend | impending | pendent | pendulum | stipend | suspend","hang | pay | weigh"
root,"pens | compensate | dispense | inexpensive | pension | pensive | propensity | suspension","hang | pay | weigh"
root,"penta | pentagon | pentathlon","five (prefix)"
root,"per | perceive | perfect | perturb | peruse | pervade | pervert","thoroughly | through | utterly | very (prefix)"
root,"peri | perigee | perimeter | peripheral","around (prefix)"
root,"pet(it) | appetite | compete | competent | competitor | impetuous | impetus | perpetual | petition | petulant | propitious | repeat","ask | attack | fall | rush at | seek | strive"
root,"petr | peter | petrify | petroleum | pier","rock | stone"
root,"phan | diaphanous | epiphany | fancy | fantastic | fantasy | phantom","appear | bring to light | show"
root,"phen | phenomena | phenomenal | phenomenon","appear | shine | show"
root,"phil | bibliophile | francophile | philanderer | philanthropy | philatelist | philodendron | philology | philosophy | philter","fond | loving"
root,"phobia | acrophobia | claustrophobia | hydrophobia | xenophobia",fear
root,"phon | cacophony | euphonious | megaphone | phonic | symphony | telephone",sound
root,"phor | metaphor | phosphorus | semaphore","bringing | carry"
root,"phos | phosphorous",light
root,"phot | photogenic | photography | photon",light
root,"physi | physics | physiography | physiologist | physiology","natural science | nature"
root,"pict | depict | picture | picturesque",paint
root,"plac | complacent | displeasure | implacable | placate | placebo | placid | pleasant",please
root,"plaud | applaud | explode | plaudit | plausible","clap | strike"
root,"plaus | plausible","clap | strike"
root,"ple | complement | complementary | complete | completion | implement | supplement",fill
root,"plen | plenary | plenty | replenish",fill
root,"plet | complete | depletion | expletive | plethora | replete","fill | full"
root,"pli | apply | compliant | imply | pliable | reply | suppliant","bend | fold"
root,"plic | accomplice | applicant | complicity | duplicate | explicate | explicit | implement | implicate | implicit | imply | multiplication | replica | simplicity | supplicate","bend | embrace | fold"
root,"plod | explode | implode",clap
root,"plor | deplore | exploration | implore","cry out | wail"
root,"ploy | deployment",fold
root,"plur | plural | plurality",more
root,"ply | imply",fold
root,"pneuma | pneumatic","air | breath | wind"
root,"pneumon | pneumonia","breath | lung"
root,"pod | chiropodist | podiatrist | podium | tripod",foot
root,"poign | poignant","point | prick"
root,"pol | apology | interpolate | polish | polite","make sooth"
root,"polis | acropolis. necropolis | megalopolis | metropolis",city
root,"poll | poll | poll tax | pollster","(hair of the) head | top of the tree"
root,"poly | polygamy | polyhedron | polymer | polynomial","many (prefix)"
root,"pon | component | exponent | opponent | postpone","place | put"
root,"popul | populace | popular | populate",people
root,"port | comport | deport | export | import | opportune | portable | portage | porter | portfolio | portico | portmanteau | purport | report | support | transport","bear | bring | carry"
root,"portio | apportion | portion | proportion","part | share"
root,"pos | expose | juxtapose | proposition | repository","place | put"
root,"posit | composition | deposit | impose | imposition | impostor | repository","place | put | settle"
root,"poss | dispossess | posse | possessive | possibility","be able | have power"
root,"post | posterity | posthumous | postpone | preposterous","after (prefix)"
root,"poster | anterior | posterior | posterity | preposterous","coming after | following"
root,"pot | potable | potation | potion | pottage",drink
root,"potent | impotent | omnipotent | potent | potentate | potential","potent | powerful"
root,"pov | impoverish | poverty",poor
root,"pre | precaution - 6 | predict - 5 | predominant - 6 | prejudice-5 | premature - 8 | preoccupation - 8 | presume - 7 | prevail - 7","before | in advance (prefix)"
root,"preci | appreciation | depreciate | praise | precious","price | value"
root,"prehend | apprehend | apprehensive | comprehend | reprehensible","grasp | seize | take"
root,"press | compress | depressive | expressive | impression | pressure","press | strain"
root,"preti | appraise | appreciable | appreciation | depreciate",price
root,"prim | primarily | primer | primeval | primitive | primogeniture",first
root,"pris | comprise | enterprise | prison | reprisal | surprise","grasp | hold | seize"
root,"priv | deprive | privacy | private | privilege | privy","deprive | separate | single"
root,"pro | proclaim - 6 | prognosticate - hs | progressive - 7 | projection - 8 | promotion - 8 | proposal - 7 | prospect - 5 | provoke - 7","before | forward | in favor of (prefix) | in front of"
root,"prob | probity","excellent | honest"
root,"propri | appropriate | proper | property | proprietary | propriety","one's own | peculiar | select"
root,"proto | protagonist | protocol | protoplasm | prototype | protozoan",first
root,"provis | provision | proviso",provide
root,"proxim | approximate | proximity | proxy","nearest | very near"
root,"prud | jurisprudence | provide | prude | prudent",foresee
root,"psych | psychic | psychoanalysis | psychology | psychopath","mind | soul | spirit"
root,"public | publicize | republic","of the people | public"
root,"pud | impudent | repudiate","blush | feel shame"
root,"pugn | impugn | pugilism | pugilist | pugnacious | repugnant",fight
root,"puls | compulsive | compulsory | expulsion | impulsive | pulse | repulsion","drive | urge"
root,"pun | impunity | punitive","pain | punishment"
root,"punct | compunction | punctilious | punctual | punctuate | puncture","point | prick"
root,"pung | expunge | pungent","point | prick"
root,"put | amputate","cleanse | lop off | prune | trim"
root,"pyr | empyrean | pyre | pyromania | pyrometer | pyrosis | pyrotechnics",fire
root,"quadr | quadrangle | quadrant | quadrilateral | quadrille | quadruped | quadruple | squadron","fourfold | square"
root,"quaint | acquaint | acquaintance | quaint | reacquaint",know
root,"qual | qualify | quality","of what sort or kind"
root,"quarant | quarantine",forty
root,"quart | quarter | quarterly | quartet",fourth
root,"quer | conquer | querulous | query","ask | seek"
root,"quest | conquest | inquest | questionable | questionnaire | request","ask | seek"
root,"quies | acquiesce | acquiescence | quiescent","quiet | rest"
root,"quiet | acquit | quietness | quietude | requite | tranquil","quiet | rest"
root,"quint | quinta | quintet | quintile | quintuple",five
root,"quir | acquire | enquire | exquisite | inquisitive | perquisite | require","ask | seek"
root,"quir/quis | acquire | exquisite | inquisitive | require","ask | seek"
root,"quis | conquistador | exquisite | inquisitive | perquisite","ask | seek"
root,"quit | acquittal","quiet | rest"
root,"quot | quota | quotation | quote | quotient","how many"
root,"rab | rabble | rabid | rage","madness | rage"
root,"radi | irradiate | radiant | radioactivity | radius","ray | shine"
root,"radic | eradicate | radical | radicchio | radish",root
root,"ram | ramification | ramify",branch
root,"rap | rapacious | rapid | rapidity | rapine","grasp | seize"
root,"rapt | raptores | rapture",seize
root,"ras | abrasion | erase | rase | rasorial | razor",scrape
root,"rat | rate | ratification | ratify | ratio | ration | rational","calculate | determine | settle | think"
root,"rav | ravine | ravish","bear away"
root,"raz | razor",scrape
root,"re | rebellious - 7 | recognition - 6 | reflect - 5 | rehabilitation - 8 | reliable - 6 | respiration - 8 | reunion - 7 | revive - 6","again | back (prefix)"
root,"rect | correct | direct | erect | rectangle | rectify | rectitude | rector","right | ruled | straight"
root,"refer | referee | reference | referendum | relate","bring back | carry back"
root,"reg | regalia | regency | regent | regimen | regiment | region | regional","govern | rule"
root,"regis | register | registrable","list | matters recorded"
root,"regul | regular | regulate","a rule"
root,"relat | correlate | correlation | relation","bring back | carry back"
root,"relatio | relationship","carry back"
root,"rend | render | rendezvous | surrender","give up"
root,"rept | reptile | surreptitious","creep | seize | snatch"
root,"retro | retroactive","backward (prefix)"
root,"rever | revere | reverence | reverend","to stand in awe of; fear"
root,"rid | deride | ridicule | ridiculous",laugh
root,"ris | derision | derisory | risible",laugh
root,"riv | derivation | derive | rival | rivulet","brook | stream"
root,"rod | corrode | corrosion | erode | erosion | rodent","eat | gnaw"
root,"rog | abrogate | arrogant | interrogate | rogue | surrogate","ask | demand"
root,"rogat | abrogate | derogatory | interrogate | prerogative | surrogate","ask | demand"
root,"rot | rotary | rotate | rototiller",wheel
root,"rou | rouge",red
root,"roy | corduroy | pomeroy | royalty | viceroy","king | rule"
root,"rub | erubescent | rubella | rubicund | rubric | ruby",red
root,"rud | erudite | rude | rudiment | rudimentary","crude | raw | rough"
root,"rupt | abrupt | bankrupt | corrupt | disrupt | erupt | interruption | rupture","break | burst"
root,"sacr | consecrate | desecrate | sacrament | sacred | sacrifice | sacrilege","holy | sacred"
root,"sag | presage | sagacious | sagacity | sage | sagittarius","perceive | seek out"
root,"sain | saintly","holy | sacred"
root,"sal | salad | salary | saline | salinity | salinization | saltwater",salt
root,"salut | salubrious | salutary | salute",health
root,"salv | salvage | salvation | salve",save
root,"san | sanatory | sanitarium | sanity",heal
root,"sanct | sanctify | sanctimony | sanction | sanctity | sanctuary","holy | sacred"
root,"sangui | consanguinity | sangfroid | sanguinary | sanguine",blood
root,"sanit | sanitarium | sanitary | sanitation | sanitize | sanity",health
root,"sap | insipid | sapid | sapien | sapient | savor","taste | to be wise"
root,"satis | insatiable | satiate | satisfaction | satisfy | saturate | unsatisfactory","enough | sufficient"
root,"satur | saturate | unsaturated",enough
root,"sault | assault | exult | insult | result | somersault","leap | spring forward"
root,"scend | ascend | condescend | descend | transcend",climb
root,"sci | conscientious | conscious | omniscient | plebiscite | prescience | science | scientific | subconscious | unconscionable",know
root,"scope | gyroscope | horoscope | periscope | stethoscope","see | watch"
root,"scrib | ascribe | describe | inscribe | prescribe | proscribe | scribble | subscribe | transcribe",write
root,"script | conscript | descriptive | inscription | script | scripture. postscript | subscription | transcript",write
root,"scrut | inscrutable | scrutiny","examine | search into carefully"
root,"scur | obscure","conceal | cover"
root,"se | secede | sedition | seduce | segregate | sequester","apart | without (prefix)"
root,"sec | secondary",follow
root,"sect | dissect | insect | intersect | secant | section",cut
root,"secu/sequ | consecutive | inconsequential | prosecute | sequel",follow
root,"secut | consecutive | execute | persecute | prosecute",follow
root,"sed | sedate | sedentary | sediment | supersede","settle | sit"
root,"self | selfish","by oneself (prefix)"
root,"sell | consulate | consult | consultancy | consultation","sees | take"
root,"sembl | assembly | dissemble | reassemble | resemble | semblance","appear | be like | seem"
root,"semi | semester | semicolon | semiconscious | semiprecious | semiskilled",half
root,"semin | disseminate | seminal | seminar | seminary","seed | sow"
root,"sen | senate | senescent | seneschal | senile | senior | sire",old
root,"sens | consensus | nonsense | sensation | sense | sensible | sensory | sensual","feel | perceive | think"
root,"sent | assent | consent | dissent | presentiment | resent | sentence | sentiment","be aware | feel | think"
root,"sequ | consequent | obsequious | sequel | sequence | sequester | subsequent",follow
root,"ser | dissertation | serial | serialize | series","a row | bind | connect | join | order | put"
root,"seri | serious","grave | serious"
root,"sert | assert | concert | desert | dissertation | exert | insert","bind | join | put"
root,"serv | conservation | conservatory | deserve | observe | preserve | reserve","keep | protect | serve"
root,"sesqui | sesquicentennial | sesquipedalian","one and a half"
root,"sess | obsession | session","be still | sit"
root,"sever | asseverate | perseverance | persevere | severe | severity","grave | serious | strict"
root,"sext | sexagenarian | sextant | sextuple",sixth
root,"sid | assiduous | dissident | insidious | preside | presidency | residue | subside | subsidy","settle | sit"
root,"sider | consider | consideration | reconsider",star
root,"sign | assignment | designate | designer | insignia | insignificant | resignation | signal | signature | signify",mark
root,"silic | silicate | silicify",flint
root,"simil | assimilate | dissimilar | similarity | simile | simulate","like | make like | together"
root,"simul | simulate | simultaneous","at the same time | make like"
root,"sinu | cosine | insinuate | sinuous","bend | curve | fold"
root,"sipa | dissipate",throw
root,"sir | desiderate | desirous | undesirable","heavenly body | star"
root,"sist | assist | consist | desist | exist | insist | persist | resist | subsist","place | to stand"
root,"soci | associate | association | socialism | society | sociologist","companion | partner"
root,"sol | parasol | solar | solstice","the sun"
root,"solut | absolute | dissolute | resolution | soluble | solution",loosen
root,"solv | absolve | dissolve | insolvent | resolve","loosen | release"
root,"somn | insomnia | somnambulist | somnolence | somnolent",sleep
root,"son | consonant | dissonance | resonance | sonata | sonorous | unison",sound
root,"soph | philosopher | philosophy | sophistication | sophistry","wisdom | wise"
root,"sort | assort | assortment | consort | sorcerer | sorcery | sort","kind | lot"
root,"sorti | resort","escape | go out | leave"
root,"spe(r) | prosper | prosperity",hope
root,"speci | special | species | specify | spice","kind | sort"
root,"spect | circumspect | expectant | expectorant | expectorate | inspection | perspective | respect | species | specimen | spectacle | spectator | spectrum","appear | look | see"
root,"sper | aspersion | disperse | intersperse","scatter | sprinkle | strew"
root,"sphere | atmosphere | hemisphere | spherical | spheroid | stratosphere",sphere
root,"spic | conspicuous | despicable | inauspicious | perspicuity | suspicious","look at | see"
root,"spir | aspire | conspire | expire | inspire | perspire | respiration | spirit | transpire",breathe
root,"spond | correspondence | despondency | despondent | respond","answer | pledge | promise"
root,"spons | response | responsible | sponsor | unresponsive","answer | promise"
root,"sta | constant | ecstasy | establish | obstacle | stability | stamina | standard",stand
root,"stant | circumstance | constant | distant | instant | stanchion | stanza | substance",stand
root,"stat | state | statue | stature | status",stand
root,"statut | constitute | destitute | institute | statute | substitute","establish | place | put | set | stand"
root,"stell | constellation | stellar",star
root,"stereo | stereophonic | stereotype",solid
root,"stern | sternum | stratosphere | stratum | substrate","spread (out) | stretch out"
root,"stigm | stigma | stigmatize","brand | mark | prick"
root,"stimul | stimulant | stimulate | stimulation","excite | prick"
root,"stinc | distinctive | instinct","brand | mark | prick"
root,"stingu | distinguishable | extinguish","pierce | prick | quench"
root,"stit | constituent | destination | destitute | institution | obstinate | solstice | substitute | superstition | superstitious",stand
root,"strain | constraint | restrain","bind | draw tight"
root,"stri | industrious",build
root,"strict | boa-constrictor | constrict | district | restrict | strict","bind | draw tight"
root,"string | astringent | stringent","bind | draw tight"
root,"strix | strident | stridor | stridulate","screech owl"
root,"strophe | apostrophe | catastrophe | catastrophic","a twist | turn"
root,"stru | construe | instrument","arrange | build"
root,"struct | construction | destructive | instruct | obstruct | structure","arrange | build"
root,"stup | stupefy | stupendous | stupid","be amazed"
root,"suad | assuage | dissuade | persuade | persuasive | suave","persuade | recommend"
root,"suav | suave",sweet
root,"sub | subconscious - 8 | subdue - 7 | submarine - 6 | submission - 8 | subscribe - 7 | substance - 6 | subterranean - 6 | suppress - 7","below (prefix) | under"
root,"suf | sufficient","below | from under (prefix)"
root,"sult | consultation | desultory | exult | exultant | insult | result","leap | spring forward"
root,"sum | assume | consume | presume | resume",take
root,"summ | consummate | summit",highest
root,"sumpt | assumption | consumption | presume",take
root,"sumptu | sumptuary | sumptuous",expense
root,"sup | support | suppress","down | under"
root,"super | sovereign | superb | superficial | superior | supernatural | supreme","above | over"
root,"sur | surface | surfeit | surpass | surrender | surround","above | in addition (prefix) | over | upon"
root,"surg | insurgent | resurgent | source | surge",rise
root,"surrect | insurrection | resurrection",rise
root,"sus | susceptible | suspect | suspend | sustain","below | under"
root,"sym | symbiosis | symbol | symmetrical | symmetry | sympathetic | symphony | symposium","together (prefix)"
root,"syn | synchronize | syncopation | syndicate | synonym | synonymous | synopsis | syntax | synthesis | synthesizer | synthetic","together | with (prefix)"
root,"tac | reticent | tacit. taciturn","be silent"
root,"tact | contact | intact | tactful | tactile",touch
root,"tag | tactical | tactician | tactics","arrange | put in order"
root,"tain | detain | entertain | maintain | obtain | pertain | retain | sustain",hold
root,"tali | retaliation","compensation in kind"
root,"tang | contagious | contiguous | contingent | tangent | tangential | tangible | taxable",touch
root,"tard | retard | retardant | tardy",slow
root,"tast | distasteful | tasteless",touch
root,"techn | pyrotechnics | technical | technology",art
root,"tect | detect | protection | toga","cover | protect"
root,"teg | disintegrate | integer | integral | integrate | integrity",touch
root,"tege | protect | protege","cover | protect"
root,"tele | telepathy | telephone | telescope",far
root,"temn | contempt | contemptible | contemptuous","scorn | slight"
root,"templ | contemplate | contemplation | contemplative",temple
root,"tempor | contemporary | extemporaneous | temporal | temporary | temporize",time
root,"ten | content | detention | lieutenant | retentive | tenacious | tenacity | tenant | tenet | tenor | tenure | untenable","hold | keep"
